state,c++,cassandra,d3,d3.js,excel,flume,hadoop,hbase,hive,java,javascript,mahout,mapreduce,matlab,mongodb,nosql,oozie,perl,pig,python,r,ruby,sas,scala,spark,spss,sql,tableau,zookeeper
 AL,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
 AR,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,1,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,3,1,0,0,6,0,12,2,6,11,11,0,2,3,0,6,0,0,3,13,13,0,2,5,12,1,18,1,0
 CO,0,0,1,0,2,0,1,0,1,0,3,0,1,1,1,1,0,1,0,1,2,0,0,0,0,0,2,1,0
 CT,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
 DC,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0
 FL,1,0,0,0,0,0,2,0,0,3,1,0,0,0,0,1,0,0,0,2,3,0,1,0,0,0,2,1,0
 GA,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
 HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 IA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 IL,0,0,1,1,0,0,2,0,1,1,4,0,0,0,0,1,0,0,0,4,3,1,2,0,3,0,9,1,0
 IN,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 MA,3,0,0,0,5,0,0,0,0,3,2,0,0,1,1,1,0,1,0,5,6,2,1,0,0,0,4,0,0
 MD,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0
 ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 MI,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
 MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 MO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 MT,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
 NC,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,2,1,0
 NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 NJ,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,1,2,0
 NM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 NY,2,0,0,0,2,0,5,0,0,4,4,0,0,0,0,1,0,0,1,6,6,0,3,3,3,3,9,2,0
 OH,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,5,1,0
 OK,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
 OR,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 PA,2,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,4,0,2,0,0,0,3,2,0
 PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
 SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 TN,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0
